Id,mean_exam_points
10000,52.96561633045397
10001,60.67310191366691
10002,57.75524463905294
10003,96.20134404153376
10004,92.96929857763118
10005,52.6075619547818
10006,55.3234592364675
10007,54.749440276276474
10008,56.42166983200281
10009,78.68369713312896
10010,52.781643463621144
10011,56.37734858734793
10012,56.55393873958756
10013,81.38885231717569
10014,60.87580839014857
10015,62.811186280795624
10016,92.38414022414958
10017,51.40175111675796
10018,52.17092836936844
10019,53.204974793714335
10020,72.68007289101382
10021,59.600727539483366
10022,68.44476997659854
10023,52.43583441124587
10024,50.699276367071256
10025,71.78116166521255
10026,61.79314279196496
10027,54.840544871035625
10028,58.15115884464012
10029,50.68154543776588
10030,66.05030677292608
10031,51.57579554399971
10032,62.9528368327785
10033,53.87675718639883
10034,59.11985110207479
10035,66.8412435595662
10036,50.618376930703484
10037,78.9283313115829
10038,59.82677828569377
10039,93.84632902645302
10040,94.9642228993678
10041,62.45110566740601
10042,56.65794290506938
10043,59.18030515462293
10044,57.7811348993282
10045,56.92559109983462
10046,58.577028313613035
10047,59.74809309748017
10048,64.70531191608768
10049,80.12106724771785
10050,59.683269179242565
10051,89.58971599114768
10052,52.19303922231122
10053,58.29203907799528
10054,53.04239576270474
10055,74.9580657694319
10056,72.7896839309559
10057,51.011399126036785
10058,62.80331454757542
10059,79.5201121712979
10060,64.27303790961719
10061,52.91989715480034
10062,52.342394688666744
10063,52.64963597123467
10064,56.58805134720627
10065,52.882995979487845
10066,52.044079223702624
10067,82.17782283242407
10068,58.31479840788458
10069,66.5393177490635
10070,62.35443510965128
10071,57.08397124148047
10072,51.77270740662528
10073,58.50004529698703
10074,69.7069118555394
10075,58.69205718792764
10076,68.17087141528587
10077,57.98869042421561
10078,61.98144314118645
10079,71.51028540830782
10080,58.48189338905171
10081,62.42380079544158
10082,87.03845698690854
10083,70.62806596064291
10084,56.92492819191869
10085,58.257796905606924
10086,82.41366945382786
10087,75.89535836138779
10088,51.77249568872369
10089,90.45981867329579
10090,55.06398209310522
10091,53.657423558320396
10092,54.079213957078984
10093,66.3248908315151
10094,66.64956624143602
10095,55.98346480181803
10096,94.14191757760862
10097,68.07261611906362
10098,84.89089829469847
10099,50.14270113581862
10100,85.11579529541255
10101,50.596601030918315
10102,60.587495390523195
10103,66.38393385594847
10104,56.35340692352774
10105,57.283907581912416
10106,52.62190587446113
10107,52.10244629567832
10108,59.846198183934625
10109,52.88012383037818
10110,53.54026119460348
10111,53.63708128467082
10112,68.86777815145045
10113,59.65481378692874
10114,60.09385539919896
10115,70.89163286448978
10116,51.83112922397833
10117,78.14318033701583
10118,58.782353318113785
10119,59.51856208391215
10120,61.588601823981456
10121,58.2475234705866
10122,87.40028387355129
10123,50.34190797354653
10124,58.84253887125223
10125,77.67331319561069
10126,55.27253655406321
10127,56.7293914606455
10128,52.52713019120913
10129,50.46216198388911
10130,69.59551707411426
10131,58.96835143272851
10132,60.110833312239826
10133,74.36644543001539
10134,79.69788813792147
10135,86.11125197559666
10136,63.12154103857948
10137,54.33173454221229
10138,83.2071282531843
10139,61.29953016794335
10140,58.750138341397005
10141,59.98526183081919
10142,77.76364909980674
10143,69.64889088859081
10144,51.12063334812961
10145,54.31854263035689
10146,61.68008447088478
10147,51.33600753715425
10148,58.99776148777899
10149,58.78150933959653
10150,87.59498615774653
10151,68.05549624742865
10152,87.44337857704221
10153,57.744295933068905
10154,57.28517593133641
10155,68.83041413110082
10156,50.22042604224056
10157,58.72570641207072
10158,56.33213730633869
10159,58.27885522732293
10160,54.0984401121098
10161,66.24670826583151
10162,53.64424708215165
10163,53.95416707106373
10164,58.374474336556716
10165,81.1443504001317
10166,76.02939560304826
10167,62.15322505132366
10168,77.0633297247887
10169,49.961557303379706
10170,54.18672906473865
10171,54.0236603895335
10172,59.194767449946525
10173,60.64565703222368
10174,56.310512616354586
10175,52.70293287769588
10176,59.3350084428204
10177,63.750945551349865
10178,58.917579681821785
10179,59.18908708759319
10180,72.239067095301
10181,52.284054033404956
10182,66.98682421575302
10183,57.494573247015346
10184,77.25528402403158
10185,53.87288320461318
10186,63.85978787413214
10187,89.61630595102125
10188,51.29507877497235
10189,62.93111513123894
10190,85.73169448712034
10191,55.59858332114737
10192,75.39979520557837
10193,79.93132257942186
10194,77.1085463633387
10195,70.58177322593427
10196,49.93696385266491
10197,52.956431333171814
10198,55.61496169801952
10199,58.29203907799528
10200,53.450889316628725
10201,52.49065022516887
10202,58.81612224008221
10203,72.72159961032293
10204,67.77677994710751
10205,60.36077148148102
10206,56.13940076236491
10207,68.4471436454456
10208,71.89929602897081
10209,51.242499608569354
10210,92.54602272334056
10211,77.4894780353424
10212,65.46873329904466
10213,76.04571941025235
10214,58.40487806698978
10215,56.80537278764619
10216,65.17735150741339
10217,56.13388988339829
10218,56.858227203511085
10219,59.044751714762455
10220,54.585532065613066
10221,53.95006014138156
10222,57.62989451806446
10223,58.35404397680707
10224,83.11916445037993
10225,61.32035057350052
10226,52.148771020364435
10227,53.07720935361989
10228,51.50718234955258
10229,52.73121560164693
10230,72.62741588759636
10231,73.2792580826634
10232,59.212308956993176
10233,60.99780245859274
10234,86.57640194018772
10235,56.17883080461984
